0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,20,16,18,8,15,6,10,10,10,22,14,23,18,20,20,16,,,,,,,,,
1,18,6,12,23,18,6,,,,,,,,,,,,,,,,,,,
2,7,10,13,5,21,6,20,12,7,22,5,22,17,20,20,21,21,20,,,,,,,
3,7,8,15,7,16,14,17,19,8,24,11,12,17,8,,,,,,,,,,,
4,13,6,7,14,18,19,19,7,20,8,,,,,,,,,,,,,,,
5,9,15,16,12,18,15,17,20,10,24,8,20,9,18,21,7,12,6,,,,,,,
6,16,4,12,6,9,14,14,22,19,18,17,14,11,14,,,,,,,,,,,
7,5,8,21,11,11,25,,,,,,,,,,,,,,,,,,,
8,16,6,9,10,7,12,17,16,20,19,15,24,11,20,16,11,22,6,19,6,,,,,
9,9,24,21,10,20,9,10,10,7,12,15,14,,,,,,,,,,,,,
